ReportingMonth,EntryExitanything,UpperLower,TOTAL VEHICLES,KeyValue
2014-08-01T00:00:00,Exit,Upper Level,777872,2014-08-01|Exit|Upper Level
2014-09-01T00:00:00,Entry,Lower Level,1031687,2014-09-01|Entry|Lower Level
2014-09-01T00:00:00,Entry,Upper Level,1194487,2014-09-01|Entry|Upper Level
2014-09-01T00:00:00,Exit,Lower Level,1280754,2014-09-01|Exit|Lower Level
2014-09-01T00:00:00,Exit,Upper Level,520894,2014-09-01|Exit|Upper Level
2014-10-01T00:00:00,Entry,Lower Level,1082532,2014-10-01|Entry|Lower Level
2014-10-01T00:00:00,Entry,Upper Level,1219739,2014-10-01|Entry|Upper Level
2014-10-01T00:00:00,Exit,Lower Level,1698399,2014-10-01|Exit|Lower Level
2014-10-01T00:00:00,Exit,Upper Level,709198,2014-10-01|Exit|Upper Level
2014-11-01T00:00:00,Entry,Lower Level,1043220,2014-11-01|Entry|Lower Level
2014-11-01T00:00:00,Entry,Upper Level,1193273,2014-11-01|Entry|Upper Level
2014-11-01T00:00:00,Exit,Lower Level,1605745,2014-11-01|Exit|Lower Level
2014-11-01T00:00:00,Exit,Upper Level,696737,2014-11-01|Exit|Upper Level
2014-12-01T00:00:00,Entry,Lower Level,1142758,2014-12-01|Entry|Lower Level
2014-12-01T00:00:00,Entry,Upper Level,1272376,2014-12-01|Entry|Upper Level
2014-12-01T00:00:00,Exit,Lower Level,1845590,2014-12-01|Exit|Lower Level
2014-12-01T00:00:00,Exit,Upper Level,768645,2014-12-01|Exit|Upper Level
2015-01-01T00:00:00,Entry,Lower Level,1078071,2015-01-01|Entry|Lower Level
2015-01-01T00:00:00,Entry,Upper Level,1186116,2015-01-01|Entry|Upper Level
2015-01-01T00:00:00,Exit,Lower Level,1722462,2015-01-01|Exit|Lower Level
2015-01-01T00:00:00,Exit,Upper Level,682468,2015-01-01|Exit|Upper Level
2015-02-01T00:00:00,Entry,Lower Level,944080,2015-02-01|Entry|Lower Level
2015-02-01T00:00:00,Entry,Upper Level,1063550,2015-02-01|Entry|Upper Level
2015-02-01T00:00:00,Exit,Lower Level,1525199,2015-02-01|Exit|Lower Level
2015-02-01T00:00:00,Exit,Upper Level,627638,2015-02-01|Exit|Upper Level
2015-03-01T00:00:00,Entry,Lower Level,1146981,2015-03-01|Entry|Lower Level
2015-03-01T00:00:00,Entry,Upper Level,1291680,2015-03-01|Entry|Upper Level
2015-03-01T00:00:00,Exit,Lower Level,1742882,2015-03-01|Exit|Lower Level
2015-03-01T00:00:00,Exit,Upper Level,749329,2015-03-01|Exit|Upper Level
2015-04-01T00:00:00,Entry,Lower Level,1120339,2015-04-01|Entry|Lower Level
2015-04-01T00:00:00,Entry,Upper Level,1239448,2015-04-01|Entry|Upper Level
2015-04-01T00:00:00,Exit,Lower Level,1748370,2015-04-01|Exit|Lower Level
