DataSet,ID,LocationName,Terminal,TerminalLevel,LocationType,Campus,DataExportDateTime,Lat,Long
Defibrillator,Defib56431,Defibrillator,T4,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.940304519999998,-118.40651515
Defibrillator,Defib56432,Defibrillator,T4,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.941728240000003,-118.40689544999999
Defibrillator,Defib56433,Defibrillator,T4,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.941770910000002,-118.40803456
Defibrillator,Defib56434,Defibrillator,TBIT,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943321089999998,-118.40981223
Defibrillator,Defib56435,Defibrillator,TBIT,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943361269999997,-118.41063139000001
Defibrillator,Defib56436,Defibrillator,TBIT,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942843809999999,-118.40976195
Defibrillator,Defib56437,Defibrillator,TBIT,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943905340000001,-118.40994361
Defibrillator,Defib56438,Defibrillator,TBIT,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94320055,-118.40989697000001
Defibrillator,Defib56440,Defibrillator,TBIT,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942834070000004,-118.41028166
Defibrillator,Defib56441,Defibrillator,TBIT,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943173109999996,-118.40894523999999
Defibrillator,Defib56443,Defibrillator,TBIT,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942888619999998,-118.40910528000001
Defibrillator,Defib56444,Defibrillator,TBIT,8,Defibrillator,LAX,2019-05-21T00:00:10.707,33.943829749999999,-118.41010364
Defibrillator,Defib56445,Defibrillator,TBIT,8,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942502140000002,-118.40977418999999
Defibrillator,Defib56446,Defibrillator,T5,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942627199999997,-118.40420112
Defibrillator,Defib56364,Defibrillator,T5,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94240018,-118.40519548
Defibrillator,Defib56447,Defibrillator,T5,4,Defibrillator,LAX,2019-05-21T00:00:10.707,33.941268749999999,-118.40460022000001
Defibrillator,Defib56449,Defibrillator,T5,2,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942485789999999,-118.40559643
Defibrillator,Defib56450,Defibrillator,T5,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.940812100000002,-118.40440198
Defibrillator,Defib56363,Defibrillator,T5,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.941718700000003,-118.40442523
Defibrillator,Defib56451,Defibrillator,T8,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.941633680000002,-118.39723051999999
Defibrillator,Defib56452,Defibrillator,T7,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942995179999997,-118.39864907
Defibrillator,Defib56453,Defibrillator,T8,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942766759999998,-118.39746279000001
Defibrillator,Defib56454,Defibrillator,T7,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94304408,-118.39859214000001
Defibrillator,Defib56455,Defibrillator,T6,3,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94079618,-118.40203133999999
Defibrillator,Defib56456,Defibrillator,T7,1,Defibrillator,LAX,2019-05-21T00:00:10.707,33.942859849999998,-118.40067522
